subdistrict_name,state_name,fiber_length_km
Car Nicobar,ANDAMAN & NICOBAR,0.0
Nancowry,ANDAMAN & NICOBAR,0.0
Great Nicobar,ANDAMAN & NICOBAR,0.0
Diglipur,ANDAMAN & NICOBAR,0.0
Mayabunder,ANDAMAN & NICOBAR,0.0
Rangat,ANDAMAN & NICOBAR,0.0
Ferrargunj,ANDAMAN & NICOBAR,0.0
Port Blair,ANDAMAN & NICOBAR,0.0
Little Andaman,ANDAMAN & NICOBAR,0.0
Veeraghattam,ANDHRA PRADESH,59.3506
Seethampeta,ANDHRA PRADESH,165.5813
Bhamini,ANDHRA PRADESH,53.5553
Kothuru,ANDHRA PRADESH,121.4552
Pathapatnam,ANDHRA PRADESH,185.386
Meliaputti,ANDHRA PRADESH,92.2215
Palasa,ANDHRA PRADESH,135.2333
Mandasa,ANDHRA PRADESH,148.8057
Kanchili,ANDHRA PRADESH,63.6318
Ichchapuram,ANDHRA PRADESH,48.705
Kaviti,ANDHRA PRADESH,62.824
Sompeta,ANDHRA PRADESH,93.8686
Vajrapukothuru,ANDHRA PRADESH,65.1653
Nandigam,ANDHRA PRADESH,114.6546
Hiramandalam,ANDHRA PRADESH,210.1278
Palakonda,ANDHRA PRADESH,79.5596
Vangara,ANDHRA PRADESH,42.9296
Regidi Amadalavalasa,ANDHRA PRADESH,133.9189
Lakshminarsupeta,ANDHRA PRADESH,102.08
Saravakota,ANDHRA PRADESH,347.5189
Tekkali,ANDHRA PRADESH,131.3349
Santhabommali,ANDHRA PRADESH,108.8913
Kotabommali,ANDHRA PRADESH,219.421
Jalumuru,ANDHRA PRADESH,270.334
Sarubujjili,ANDHRA PRADESH,202.8081
Burja,ANDHRA PRADESH,125.5915
Santhakaviti,ANDHRA PRADESH,102.2207
Rajam,ANDHRA PRADESH,49.655
Ganguvarisigadam,ANDHRA PRADESH,78.2958
Amadalavalasa,ANDHRA PRADESH,367.9505
Narasannapeta,ANDHRA PRADESH,192.1592
Polaki,ANDHRA PRADESH,122.5765
Gara,ANDHRA PRADESH,70.075
Srikakulam,ANDHRA PRADESH,485.4728
Ponduru,ANDHRA PRADESH,113.1615
Laveru,ANDHRA PRADESH,64.4262
Ranastalam,ANDHRA PRADESH,59.8568
Etcherla,ANDHRA PRADESH,104.4627
Komarada,ANDHRA PRADESH,0.0
Gummalakshmipuram,ANDHRA PRADESH,1.7189
Kurupam,ANDHRA PRADESH,13.7204
Jiyyammavalasa,ANDHRA PRADESH,0.0
Garugubilli,ANDHRA PRADESH,0.0
Parvathipuram,ANDHRA PRADESH,0.0
