State_code,District_code,Subdistrict_code,Subdistrict_name,Number of households_total,population_total,Area_total,population density_total,State_name,District_name,Household density,% Rural Population,% Rural Households,% Rural Area,fiber_length_km,fiber_per_sqkm
1,7,28,Bashohli,13312,70810,344.24,206.0,JAMMU & KASHMIR,Kathua,38.670694864048336,92.32735489337664,91.69170673076924,99.24180804090167,0.2391,0.0007
1,7,30,Kathua,41206,210949,563.89,374.0,JAMMU & KASHMIR,Kathua,73.07453581372253,66.33878330781374,65.53657234383343,94.6443455283832,29.5004,0.0523
1,7,31,Hiranagar,28282,137798,388.92,354.0,JAMMU & KASHMIR,Kathua,72.71932531111797,93.98104471763016,93.90778587087192,98.97151085056052,13.7605,0.0354
1,21,78,Akhnoor,54133,250446,969.5,258.0,JAMMU & KASHMIR,Jammu,55.83599793708097,87.37412456178178,89.14340605545601,99.09953584321816,12.0481,0.0124
1,21,79,Jammu,195906,970335,1069.72,907.0,JAMMU & KASHMIR,Jammu,183.13764349549413,29.359963311639792,28.879156330076672,79.31514788916726,64.5893,0.0604
1,21,80,Ranbir Singh Pora,41528,197739,245.26,806.0,JAMMU & KASHMIR,Jammu,169.32235178993722,85.69831950196976,86.12743209400887,97.2355867242926,78.7912,0.3213
1,21,81,Bishnah,22632,111438,158.18,705.0,JAMMU & KASHMIR,Jammu,143.07750663800732,82.35162152946033,82.59102156238953,90.29586546971804,74.8205,0.473
1,22,82,Samba,65385,318898,903.65,353.0,JAMMU & KASHMIR,Samba,72.35655397554363,83.1874141575049,83.68586067140782,95.71072871133735,99.0561,0.1096
2,23,83,Pangi,3952,18868,1515.455245321114,12.0,HIMACHAL PRADESH,Chamba,2.607797235980136,100.0,100.0,100.0,69.5853,0.0459
2,23,84,Chaurah,14142,78988,1164.894564119854,68.0,HIMACHAL PRADESH,Chamba,12.14015451319846,100.0,100.0,100.0,139.4804,0.1197
2,23,85,Saluni,8815,47939,362.0248525754306,132.0,HIMACHAL PRADESH,Chamba,24.34915707385953,100.0,100.0,100.0,71.5462,0.1976
2,23,86,Bhalai,4774,25326,133.25185124403168,190.0,HIMACHAL PRADESH,Chamba,35.82689437655243,100.0,100.0,100.0,28.6046,0.2147
2,23,87,Dalhousie,9514,46760,159.95734751725522,292.0,HIMACHAL PRADESH,Chamba,59.478355622105376,77.33105218135158,78.90477191507253,92.68555012845668,53.9946,0.3376
2,23,88,Bhattiyat,8897,42967,248.8837917206384,173.0,HIMACHAL PRADESH,Chamba,35.74760710004976,87.02492610608141,85.37709340227043,98.10755052892844,100.375,0.4033
2,23,89,Sihunta,8297,39871,264.1863677579328,151.0,HIMACHAL PRADESH,Chamba,31.40585969826546,100.0,100.0,100.0,87.8065,0.3324
2,23,90,Chamba,35900,179253,1012.2771446685192,177.0,HIMACHAL PRADESH,Chamba,35.46459602400273,88.87996295738425,87.3091922005571,99.57225152984977,430.7454,0.4255
2,23,91,Holi,3027,14094,716.0666401334067,20.0,HIMACHAL PRADESH,Chamba,4.227260188292049,100.0,100.0,100.0,102.7596,0.1435
2,23,92,Brahmaur,5142,25014,945.0131863564894,26.0,HIMACHAL PRADESH,Chamba,5.441193915848992,100.0,100.0,100.0,83.5305,0.0884
2,24,93,Nurpur,37267,176525,540.4221802474495,327.0,HIMACHAL PRADESH,Kangra,68.95904972467288,94.44441297266675,94.2657042423592,99.12105754100897,243.0256,0.4497
2,24,94,Indora,16720,81226,298.12916541036685,272.0,HIMACHAL PRADESH,Kangra,56.083073848160296,94.41804348361362,93.99521531100478,96.87383822808104,105.6558,0.3544
2,24,95,Fatehpur,13185,62041,305.9878131087973,203.0,HIMACHAL PRADESH,Kangra,43.08995141356146,100.0,100.0,100.0,130.7021,0.4271
2,24,96,Jawali,24532,112746,295.64212255898286,381.0,HIMACHAL PRADESH,Kangra,82.97870339875428,100.0,100.0,100.0,220.5103,0.7459
2,24,97,Harchakian,3125,13841,72.18539948156237,192.0,HIMACHAL PRADESH,Kangra,43.29130298431318,100.0,100.0,100.0,112.9778,1.5651
2,24,98,Shahpur,15082,67758,244.60678011275544,277.0,HIMACHAL PRADESH,Kangra,61.65814370741362,100.0,100.0,100.0,145.8209,0.5961
2,24,99,Dharmsala,31328,136536,337.66703106822905,404.0,HIMACHAL PRADESH,Kangra,92.77778733947484,68.6588152575145,66.38789581205312,94.53011449131736,192.1234,0.569
2,24,100,Kangra,21432,97568,180.62658348104588,540.0,HIMACHAL PRADESH,Kangra,118.65363108220986,90.23450311577568,89.501679731243,98.27267950272258,457.8598,2.5348
2,24,101,Nagrota Bagwan,17068,76899,95.01726828115284,809.0,HIMACHAL PRADESH,Kangra,179.6305062096331,92.3275985383425,91.73892664635576,96.27436142499356,249.1574,2.6222
2,24,102,Baroh,5725,25789,133.9945300175966,192.0,HIMACHAL PRADESH,Kangra,42.72562468966588,100.0,100.0,100.0,108.8619,0.8124
2,24,103,Dera Gopipur,27654,120783,610.6403696047614,198.0,HIMACHAL PRADESH,Kangra,45.286884681239016,96.01268390419182,95.83785347508498,99.464496590339,397.0609,0.6502
2,24,104,Jawalamukhi,9740,43504,103.61999027528424,420.0,HIMACHAL PRADESH,Kangra,93.99730664058184,87.67699521883046,87.84394250513347,95.63790733043707,110.941,1.0707
2,24,105,Jaswan,7486,32520,181.0750666181807,180.0,HIMACHAL PRADESH,Kangra,41.34197015531223,100.0,100.0,100.0,52.6888,0.291
2,24,106,Rakkar,6765,29503,114.48551355223222,258.0,HIMACHAL PRADESH,Kangra,59.09044550788144,100.0,100.0,100.0,83.3871,0.7284
2,24,107,Khundian,8268,38231,190.7072612680079,200.0,HIMACHAL PRADESH,Kangra,43.354405831357816,100.0,100.0,100.0,117.3356,0.6153
2,24,108,Thural,4658,19287,57.681047114679686,334.0,HIMACHAL PRADESH,Kangra,80.75442858620627,100.0,100.0,100.0,52.8232,0.9158
